wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
59,23,.720,—,111.7,103.9,7.29,Toronto Raptors,2017,2018
55,27,.671,4.0,104.0,100.4,3.23,Boston Celtics,2017,2018
52,30,.634,7.0,109.8,105.3,4.30,Philadelphia 76ers,2017,2018
50,32,.610,9.0,110.9,109.9,0.59,Cleveland Cavaliers,2017,2018
48,34,.585,11.0,105.6,104.2,1.18,Indiana Pacers,2017,2018
44,38,.537,15.0,103.4,102.9,0.15,Miami Heat,2017,2018
44,38,.537,15.0,106.5,106.8,-0.45,Milwaukee Bucks,2017,2018
43,39,.524,16.0,106.6,106.0,0.53,Washington Wizards,2017,2018
39,43,.476,20.0,103.8,103.9,-0.26,Detroit Pistons,2017,2018
36,46,.439,23.0,108.2,108.0,0.07,Charlotte Hornets,2017,2018
29,53,.354,30.0,104.5,108.0,-3.53,New York Knicks,2017,2018
28,54,.341,31.0,106.6,110.3,-3.67,Brooklyn Nets,2017,2018
27,55,.329,32.0,102.9,110.0,-6.84,Chicago Bulls,2017,2018
25,57,.305,34.0,103.4,108.2,-4.92,Orlando Magic,2017,2018
24,58,.293,35.0,103.4,108.8,-5.30,Atlanta Hawks,2017,2018
65,17,.793,—,112.4,103.9,8.21,Houston Rockets,2017,2018
58,24,.707,7.0,113.5,107.5,5.79,Golden State Warriors,2017,2018
49,33,.598,16.0,105.6,103.0,2.60,Portland Trail Blazers,2017,2018
48,34,.585,17.0,107.9,104.4,3.42,Oklahoma City Thunder,2017,2018
48,34,.585,17.0,104.1,99.8,4.47,Utah Jazz,2017,2018
48,34,.585,17.0,111.7,110.4,1.48,New Orleans Pelicans,2017,2018
47,35,.573,18.0,102.7,99.8,2.89,San Antonio Spurs,2017,2018
47,35,.573,18.0,109.5,107.3,2.35,Minnesota Timberwolves,2017,2018
46,36,.561,19.0,110.0,108.5,1.57,Denver Nuggets,2017,2018
42,40,.512,23.0,109.0,109.0,0.15,Los Angeles Clippers,2017,2018
35,47,.427,30.0,108.1,109.6,-1.44,Los Angeles Lakers,2017,2018
27,55,.329,38.0,98.8,105.8,-6.60,Sacramento Kings,2017,2018
24,58,.293,41.0,102.3,105.4,-2.70,Dallas Mavericks,2017,2018
22,60,.268,43.0,99.3,105.5,-5.81,Memphis Grizzlies,2017,2018
21,61,.256,44.0,103.9,113.3,-8.80,Phoenix Suns,2017,2018
