wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
56,26,.683,—,96.5,91.1,4.83,Boston Celtics,2010,2011
42,40,.512,14.0,106.5,105.7,0.48,New York Knicks,2010,2011
41,41,.500,15.0,99.0,97.5,1.01,Philadelphia 76ers,2010,2011
24,58,.293,32.0,94.2,100.4,-6.28,New Jersey Nets,2010,2011
22,60,.268,34.0,99.1,105.4,-6.28,Toronto Raptors,2010,2011
62,20,.756,—,98.6,91.3,6.53,Chicago Bulls,2010,2011
37,45,.451,25.0,99.8,100.9,-1.38,Indiana Pacers,2010,2011
35,47,.427,27.0,91.9,92.7,-1.02,Milwaukee Bucks,2010,2011
30,52,.366,32.0,97.0,100.6,-3.78,Detroit Pistons,2010,2011
19,63,.232,43.0,95.5,104.5,-8.88,Cleveland Cavaliers,2010,2011
58,24,.707,—,102.1,94.6,6.76,Miami Heat,2010,2011
52,30,.634,6.0,99.2,93.7,4.92,Orlando Magic,2010,2011
44,38,.537,14.0,95.0,95.8,-1.10,Atlanta Hawks,2010,2011
34,48,.415,24.0,93.3,97.3,-4.08,Charlotte Bobcats,2010,2011
23,59,.280,35.0,97.3,104.7,-7.30,Washington Wizards,2010,2011
55,27,.671,—,104.8,101.0,3.81,Oklahoma City Thunder,2010,2011
50,32,.610,5.0,107.5,102.7,4.81,Denver Nuggets,2010,2011
48,34,.585,7.0,96.3,94.8,1.85,Portland Trail Blazers,2010,2011
39,43,.476,16.0,99.4,101.3,-1.44,Utah Jazz,2010,2011
17,65,.207,38.0,101.1,107.7,-5.97,Minnesota Timberwolves,2010,2011
57,25,.695,—,101.5,95.4,6.01,Los Angeles Lakers,2010,2011
40,42,.488,17.0,105.0,105.9,-0.46,Phoenix Suns,2010,2011
36,46,.439,21.0,103.4,105.7,-2.00,Golden State Warriors,2010,2011
32,50,.390,25.0,98.6,101.8,-2.71,Los Angeles Clippers,2010,2011
24,58,.293,33.0,99.4,104.7,-4.80,Sacramento Kings,2010,2011
61,21,.744,—,103.7,98.0,5.86,San Antonio Spurs,2010,2011
57,25,.695,4.0,100.2,96.0,4.41,Dallas Mavericks,2010,2011
46,36,.561,15.0,94.9,94.0,1.28,New Orleans Hornets,2010,2011
46,36,.561,15.0,99.9,97.6,2.55,Memphis Grizzlies,2010,2011
43,39,.524,18.0,105.9,103.7,2.37,Houston Rockets,2010,2011
