wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
49,33,.598,—,93.8,92.4,1.11,New Jersey Nets,2005,2006
38,44,.463,11.0,99.4,101.3,-2.10,Philadelphia 76ers,2005,2006
33,49,.402,16.0,98.0,99.5,-1.59,Boston Celtics,2005,2006
27,55,.329,22.0,101.1,104.0,-3.03,Toronto Raptors,2005,2006
23,59,.280,26.0,95.6,102.0,-6.30,New York Knicks,2005,2006
64,18,.780,—,96.8,90.2,6.24,Detroit Pistons,2005,2006
50,32,.610,14.0,97.6,95.4,2.17,Cleveland Cavaliers,2005,2006
41,41,.500,23.0,93.9,92.0,1.62,Indiana Pacers,2005,2006
41,41,.500,23.0,97.8,97.2,0.51,Chicago Bulls,2005,2006
40,42,.488,24.0,97.8,98.8,-1.07,Milwaukee Bucks,2005,2006
52,30,.634,—,99.9,96.0,3.59,Miami Heat,2005,2006
42,40,.512,10.0,101.7,99.8,1.57,Washington Wizards,2005,2006
36,46,.439,16.0,94.9,96.0,-1.26,Orlando Magic,2005,2006
26,56,.317,26.0,96.9,100.9,-3.90,Charlotte Bobcats,2005,2006
26,56,.317,26.0,97.2,102.0,-4.69,Atlanta Hawks,2005,2006
44,38,.537,—,100.3,100.1,0.36,Denver Nuggets,2005,2006
41,41,.500,3.0,92.4,95.0,-2.49,Utah Jazz,2005,2006
35,47,.427,9.0,102.6,105.6,-2.88,Seattle SuperSonics,2005,2006
33,49,.402,11.0,91.7,93.6,-1.75,Minnesota Timberwolves,2005,2006
21,61,.256,23.0,88.8,98.3,-8.91,Portland Trail Blazers,2005,2006
54,28,.659,—,108.4,102.8,5.48,Phoenix Suns,2005,2006
47,35,.573,7.0,97.2,95.6,1.75,Los Angeles Clippers,2005,2006
45,37,.549,9.0,99.4,96.9,2.53,Los Angeles Lakers,2005,2006
44,38,.537,10.0,98.9,97.3,1.61,Sacramento Kings,2005,2006
34,48,.415,20.0,98.5,99.8,-1.11,Golden State Warriors,2005,2006
63,19,.768,—,95.6,88.8,6.69,San Antonio Spurs,2005,2006
60,22,.732,3.0,99.1,93.1,5.96,Dallas Mavericks,2005,2006
49,33,.598,14.0,92.2,88.5,3.74,Memphis Grizzlies,2005,2006
38,44,.463,25.0,92.8,95.6,-2.51,New Orleans/Oklahoma City Hornets,2005,2006
34,48,.415,29.0,90.1,91.7,-1.30,Houston Rockets,2005,2006
