wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
66,16,.805,—,100.5,90.3,9.30,Boston Celtics,2007,2008
41,41,.500,25.0,100.2,97.3,2.47,Toronto Raptors,2007,2008
40,42,.488,26.0,96.6,96.2,0.19,Philadelphia 76ers,2007,2008
34,48,.415,32.0,95.8,100.9,-5.15,New Jersey Nets,2007,2008
23,59,.280,43.0,96.9,103.5,-6.55,New York Knicks,2007,2008
59,23,.720,—,97.5,90.1,6.67,Detroit Pistons,2007,2008
45,37,.549,14.0,96.4,96.7,-0.53,Cleveland Cavaliers,2007,2008
36,46,.439,23.0,104.0,105.4,-1.87,Indiana Pacers,2007,2008
33,49,.402,26.0,97.3,100.4,-3.19,Chicago Bulls,2007,2008
26,56,.317,33.0,97.0,103.9,-6.92,Milwaukee Bucks,2007,2008
52,30,.634,—,104.5,99.0,4.79,Orlando Magic,2007,2008
43,39,.524,9.0,98.8,99.2,-0.61,Washington Wizards,2007,2008
37,45,.451,15.0,98.2,100.0,-2.23,Atlanta Hawks,2007,2008
32,50,.390,20.0,97.1,101.4,-4.49,Charlotte Bobcats,2007,2008
15,67,.183,37.0,91.4,100.0,-8.53,Miami Heat,2007,2008
54,28,.659,—,106.2,99.3,6.86,Utah Jazz,2007,2008
50,32,.610,4.0,110.7,107.0,3.74,Denver Nuggets,2007,2008
41,41,.500,13.0,95.4,96.3,-0.52,Portland Trail Blazers,2007,2008
22,60,.268,32.0,95.6,102.4,-6.26,Minnesota Timberwolves,2007,2008
20,62,.244,34.0,97.5,106.3,-8.04,Seattle SuperSonics,2007,2008
57,25,.695,—,108.6,101.3,7.34,Los Angeles Lakers,2007,2008
55,27,.671,2.0,110.1,105.0,5.14,Phoenix Suns,2007,2008
48,34,.585,9.0,111.0,108.8,2.38,Golden State Warriors,2007,2008
38,44,.463,19.0,102.5,104.8,-1.86,Sacramento Kings,2007,2008
23,59,.280,34.0,93.8,101.1,-6.56,Los Angeles Clippers,2007,2008
56,26,.683,—,100.9,95.6,5.46,New Orleans Hornets,2007,2008
56,26,.683,—,95.4,90.6,5.10,San Antonio Spurs,2007,2008
55,27,.671,1.0,96.7,92.0,4.83,Houston Rockets,2007,2008
51,31,.622,5.0,100.4,95.9,4.70,Dallas Mavericks,2007,2008
22,60,.268,34.0,100.7,106.9,-5.76,Memphis Grizzlies,2007,2008
