wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
50,32,.610,—,99.2,95.6,3.37,Boston Celtics,2009,2010
40,42,.488,10.0,104.1,105.9,-1.83,Toronto Raptors,2009,2010
29,53,.354,21.0,102.1,105.9,-4.01,New York Knicks,2009,2010
27,55,.329,23.0,97.7,101.6,-3.93,Philadelphia 76ers,2009,2010
12,70,.146,38.0,92.4,101.5,-8.93,New Jersey Nets,2009,2010
61,21,.744,—,102.1,95.6,6.17,Cleveland Cavaliers,2009,2010
46,36,.561,15.0,97.7,96.0,1.37,Milwaukee Bucks,2009,2010
41,41,.500,20.0,97.5,99.1,-1.64,Chicago Bulls,2009,2010
32,50,.390,29.0,100.8,103.8,-3.11,Indiana Pacers,2009,2010
27,55,.329,34.0,94.0,99.1,-5.02,Detroit Pistons,2009,2010
59,23,.720,—,102.8,95.3,7.12,Orlando Magic,2009,2010
53,29,.646,6.0,101.7,97.0,4.44,Atlanta Hawks,2009,2010
47,35,.573,12.0,96.5,94.2,1.99,Miami Heat,2009,2010
44,38,.537,15.0,95.3,93.8,1.30,Charlotte Bobcats,2009,2010
26,56,.317,33.0,96.2,101.0,-4.72,Washington Wizards,2009,2010
53,29,.646,—,106.5,102.4,4.15,Denver Nuggets,2009,2010
53,29,.646,—,104.2,98.9,5.33,Utah Jazz,2009,2010
50,32,.610,3.0,98.1,94.8,3.18,Portland Trail Blazers,2009,2010
50,32,.610,3.0,101.5,98.0,3.55,Oklahoma City Thunder,2009,2010
15,67,.183,38.0,98.2,107.8,-9.06,Minnesota Timberwolves,2009,2010
57,25,.695,—,101.7,97.0,4.78,Los Angeles Lakers,2009,2010
54,28,.659,3.0,110.2,105.3,4.67,Phoenix Suns,2009,2010
29,53,.354,28.0,95.7,102.1,-6.01,Los Angeles Clippers,2009,2010
26,56,.317,31.0,108.8,112.4,-3.28,Golden State Warriors,2009,2010
25,57,.305,32.0,100.0,104.4,-4.06,Sacramento Kings,2009,2010
55,27,.671,—,102.0,99.3,2.66,Dallas Mavericks,2009,2010
50,32,.610,5.0,101.4,96.3,5.07,San Antonio Spurs,2009,2010
42,40,.512,13.0,102.4,102.7,-0.02,Houston Rockets,2009,2010
40,42,.488,15.0,102.5,104.0,-1.39,Memphis Grizzlies,2009,2010
37,45,.451,18.0,100.2,102.7,-2.27,New Orleans Hornets,2009,2010
